,delta_time,water_level,diff_water_level,rate_water_level,humd_1,diff_humed_1,rate_humed_1,,,humd_2,diff_humed_2,rate_humed_2,humd_3,diff_humed_3,rate_humed_3,humd_4,diff_humed_4,rate_humed_4,humd_5,diff_humed_5,rate_humed_5,humd_6,diff_humed_6,rate_humed_6,humd_7,diff_humed_7,rate_humed_7,humd_8,diff_humed_8,rate_humed_8,humd_9,diff_humed_9,rate_humed_9
10,60,1.4,0,0,72.02582,0,0,,,71.1637,-0.03051,-0.0005085,68.89014,0.03052,0.000508667,70.03455,-0.03051,-0.0005085,72.97949,-0.03052,-0.000508667,70.5686,-0.03052,-0.000508667,68.82147,-0.03815,-0.000635833,64.99915,0,0,72.24707,-0.02289,-0.0003815
11,60,1.4,0,0,71.9953,-0.03052,-0.000508667,,,71.13318,-0.03052,-0.000508667,68.91302,0.02288,0.000381333,70.00403,-0.03052,-0.000508667,72.94897,-0.03052,-0.000508667,70.5686,0,0,68.82147,0,0,64.99915,0,0,72.21655,-0.03052,-0.000508667
12,62,1.4,0,0,71.9953,0,0,,,71.11029,-0.02289,-0.000369194,68.94354,0.03052,0.000492258,70.00403,0,0,72.94897,0,0,70.5686,0,0,68.85199,0.03052,0.000492258,64.99915,0,0,72.21655,0,0
13,58,1.4,0,0,71.9953,0,0,,,71.07977,-0.03052,-0.000526207,68.97406,0.03052,0.000526207,70.00403,0,0,72.92609,-0.02288,-0.000394483,70.5686,0,0,68.87488,0.02289,0.000394655,64.99915,0,0,72.18604,-0.03051,-0.000526034
14,60,1.4,0,0,71.95715,-0.03815,-0.000635833,,,71.04926,-0.03051,-0.0005085,69.02747,0.05341,0.000890167,70.03455,0.03052,0.000508667,72.92609,0,0,70.59912,0.03052,0.000508667,68.93591,0.06103,0.001017167,64.99915,0,0,72.18604,0,0
15,60,1.4,0,0,71.98767,0.03052,0.000508667,,,71.04926,0,0,69.05035,0.02288,0.000381333,70.06506,0.03051,0.0005085,72.94897,0.02288,0.000381333,70.62201,0.02289,0.0003815,68.9588,0.02289,0.0003815,65.02966,0.03051,0.0005085,72.18604,0,0
16,60,1.4,0,0,72.01056,0.02289,0.0003815,,,71.04926,0,0,69.11139,0.06104,0.001017333,70.11847,0.05341,0.000890167,72.97949,0.03052,0.000508667,70.65253,0.03052,0.000508667,68.98932,0.03052,0.000508667,65.06018,0.03052,0.000508667,72.18604,0,0
17,60,1.4,0,0,72.04108,0.03052,0.000508667,,,71.04926,0,0,69.13428,0.02289,0.0003815,70.11847,0,0,72.97949,0,0,70.67542,0.02289,0.0003815,69.04272,0.0534,0.00089,65.0907,0.03052,0.000508667,72.18604,0,0
18,61,1.4,0,0,72.04108,0,0,,,71.07977,0.03051,0.000500164,69.19531,0.06103,0.001000492,70.14136,0.02289,0.000375246,73.01001,0.03052,0.000500328,70.70593,0.03051,0.000500164,69.09613,0.05341,0.000875574,65.12122,0.03052,0.000500328,72.18604,0,0
19,59,1.4,0,0,72.07159,0.03051,0.000517119,,,71.07977,0,0,69.24872,0.05341,0.000905254,70.17187,0.03051,0.000517119,73.06342,0.05341,0.000905254,70.73645,0.03052,0.000517288,69.15717,0.06104,0.001034576,65.1441,0.02288,0.000387797,72.21655,0.03051,0.000517119
20,60,1.4,0,0,72.125,0.05341,0.000890167,,,71.11029,0.03052,0.000508667,69.30212,0.0534,0.00089,70.22528,0.05341,0.000890167,73.09393,0.03051,0.0005085,70.78986,0.05341,0.000890167,69.21057,0.0534,0.00089,65.17462,0.03052,0.000508667,72.24707,0.03052,0.000508667
21,60,1.4,0,0,72.17841,0.05341,0.000890167,,,71.13318,0.02289,0.0003815,69.33264,0.03052,0.000508667,70.2558,0.03052,0.000508667,73.11682,0.02289,0.0003815,70.82037,0.03051,0.0005085,69.26398,0.05341,0.000890167,65.23566,0.06104,0.001017333,72.24707,0,0
22,60,1.4,0,0,72.20892,0.03051,0.0005085,,,71.1637,0.03052,0.000508667,69.38605,0.05341,0.000890167,70.28632,0.03052,0.000508667,73.17023,0.05341,0.000890167,70.87378,0.05341,0.000890167,69.31738,0.0534,0.00089,65.26617,0.03051,0.0005085,72.30048,0.05341,0.000890167
23,60,1.4,0,0,72.26233,0.05341,0.000890167,,,71.19421,0.03051,0.0005085,69.43945,0.0534,0.00089,70.33972,0.0534,0.00089,73.23126,0.06103,0.001017167,70.89667,0.02289,0.0003815,69.3479,0.03052,0.000508667,65.31958,0.05341,0.000890167,72.33099,0.03051,0.0005085
24,60,1.4,0,0,72.31573,0.0534,0.00089,,,71.2171,0.02289,0.0003815,69.46997,0.03052,0.000508667,70.36261,0.02289,0.0003815,73.25415,0.02289,0.0003815,70.9577,0.06103,0.001017167,69.40131,0.05341,0.000890167,65.3501,0.03052,0.000508667,72.35388,0.02289,0.0003815
25,60,1.4,0,0,72.37677,0.06104,0.001017333,,,71.27051,0.05341,0.000890167,69.49286,0.02289,0.0003815,70.39313,0.03052,0.000508667,73.28467,0.03052,0.000508667,70.98059,0.02289,0.0003815,69.43182,0.03051,0.0005085,65.41113,0.06103,0.001017167,72.35388,0,0
26,60,1.4,0,0,72.39966,0.02289,0.0003815,,,71.30103,0.03052,0.000508667,69.49286,0,0,70.39313,0,0,73.31519,0.03052,0.000508667,71.01111,0.03052,0.000508667,69.46234,0.03052,0.000508667,65.41113,0,0,72.35388,0,0
27,60,1.4,0,0,72.39966,0,0,,,71.30103,0,0,69.43945,-0.05341,-0.000890167,70.39313,0,0,73.33807,0.02288,0.000381333,70.98059,-0.03052,-0.000508667,69.43182,-0.03052,-0.000508667,65.41113,0,0,72.35388,0,0
28,61,1.4,0,0,72.37677,-0.02289,-0.000375246,,,71.27051,-0.03052,-0.000500328,69.35553,-0.08392,-0.001375738,70.36261,-0.03052,-0.000500328,73.31519,-0.02288,-0.000375082,70.92719,-0.0534,-0.00087541,69.3479,-0.08392,-0.001375738,65.38062,-0.03051,-0.000500164,72.30048,-0.0534,-0.00087541
29,59,1.4,0,0,72.34625,-0.03052,-0.000517288,,,71.24762,-0.02289,-0.000387966,69.24872,-0.10681,-0.001810339,70.3092,-0.05341,-0.000905254,73.24652,-0.06867,-0.001163898,70.84326,-0.08393,-0.001422542,69.26398,-0.08392,-0.001422373,65.31958,-0.06104,-0.001034576,72.18604,-0.11444,-0.001939661
30,60,1.4,0,0,72.26233,-0.08392,-0.001398667,,,71.15607,-0.09155,-0.001525833,68.99695,-0.25177,-0.004196167,70.2558,-0.0534,-0.00089,73.1626,-0.08392,-0.001398667,70.70593,-0.13733,-0.002288833,69.07324,-0.19074,-0.003179,65.26617,-0.05341,-0.000890167,72.16315,-0.02289,-0.0003815
31,60,1.4,0,0,72.15552,-0.10681,-0.001780167,,,71.07214,-0.08393,-0.001398833,68.85962,-0.13733,-0.002288833,70.17187,-0.08393,-0.001398833,73.05579,-0.10681,-0.001780167,70.59912,-0.10681,-0.001780167,68.93591,-0.13733,-0.002288833,65.17462,-0.09155,-0.001525833,72.04108,-0.12207,-0.0020345
32,60,1.4,0,0,72.04108,-0.11444,-0.001907333,,,71.01874,-0.0534,-0.00089,68.69177,-0.16785,-0.0027975,70.03455,-0.13732,-0.002288667,72.97186,-0.08393,-0.001398833,70.45416,-0.14496,-0.002416,68.79858,-0.13733,-0.002288833,65.06018,-0.11444,-0.001907333,71.92664,-0.11444,-0.001907333
33,61,1.4,0,0,71.95715,-0.08393,-0.001375902,,,70.93481,-0.08393,-0.001375902,68.58496,-0.10681,-0.001750984,69.98114,-0.05341,-0.000875574,72.85742,-0.11444,-0.001876066,70.37787,-0.07629,-0.001250656,68.65363,-0.14495,-0.00237623,64.94574,-0.11444,-0.001876066,71.81982,-0.10682,-0.001751148
34,59,1.4,0,0,71.81982,-0.13733,-0.002327627,,,70.85089,-0.08392,-0.001422373,68.44763,-0.13733,-0.002327627,69.8667,-0.11444,-0.001939661,72.7735,-0.08392,-0.001422373,70.23291,-0.14496,-0.002456949,68.5163,-0.13733,-0.002327627,64.82367,-0.12207,-0.002068983,71.7359,-0.08392,-0.001422373
35,60,1.4,0,0,71.71301,-0.10681,-0.001780167,,,70.76697,-0.08392,-0.001398667,68.36371,-0.08392,-0.001398667,69.72937,-0.13733,-0.002288833,72.66669,-0.10681,-0.001780167,70.11847,-0.11444,-0.001907333,68.43237,-0.08393,-0.001398833,64.70923,-0.11444,-0.001907333,71.59857,-0.13733,-0.002288833
36,60,1.4,0,0,71.62909,-0.08392,-0.001398667,,,70.68304,-0.08393,-0.001398833,68.24927,-0.11444,-0.001907333,69.63782,-0.09155,-0.001525833,72.58276,-0.08393,-0.001398833,70.03455,-0.08392,-0.001398667,68.35608,-0.07629,-0.0012715,64.61768,-0.09155,-0.001525833,71.54517,-0.0534,-0.00089
37,61,1.4,0,0,71.51465,-0.11444,-0.001876066,,,70.60675,-0.07629,-0.001250656,68.22638,-0.02289,-0.000375246,69.55389,-0.08393,-0.001375902,72.49884,-0.08392,-0.001375738,69.95062,-0.08393,-0.001375902,68.29504,-0.06104,-0.001000656,64.49561,-0.12207,-0.002001148,71.48413,-0.06104,-0.001000656
38,59,1.4,0,0,71.40784,-0.10681,-0.001810339,,,70.54572,-0.06103,-0.001034407,68.15771,-0.06867,-0.001163898,69.50049,-0.0534,-0.000905085,72.41492,-0.08392,-0.001422373,69.9201,-0.03052,-0.000517288,68.21112,-0.08392,-0.001422373,64.38116,-0.11445,-0.001939831,71.40784,-0.07629,-0.001293051
39,60,1.4,0,0,71.32391,-0.08393,-0.001398833,,,70.52283,-0.02289,-0.0003815,68.07379,-0.08392,-0.001398667,69.46997,-0.03052,-0.000508667,72.36151,-0.05341,-0.000890167,69.83618,-0.08392,-0.001398667,68.13483,-0.07629,-0.0012715,64.35065,-0.03051,-0.0005085,71.40784,0,0
40,60,1.4,0,0,71.23999,-0.08392,-0.001398667,,,70.46179,-0.06104,-0.001017333,68.10431,0.03052,0.000508667,69.41656,-0.05341,-0.000890167,72.30811,-0.0534,-0.00089,69.83618,0,0,68.13483,0,0,64.28961,-0.06104,-0.001017333,71.3468,-0.06104,-0.001017333
41,60,1.4,0,0,71.20947,-0.03052,-0.000508667,,,70.40839,-0.0534,-0.00089,68.10431,0,0,69.36316,-0.0534,-0.00089,72.24707,-0.06104,-0.001017333,69.83618,0,0,68.06616,-0.06867,-0.0011445,64.23621,-0.0534,-0.00089,71.32391,-0.02289,-0.0003815
42,60,1.4,0,0,71.18658,-0.02289,-0.0003815,,,70.3855,-0.02289,-0.0003815,68.10431,0,0,69.33264,-0.03052,-0.000508667,72.22418,-0.02289,-0.0003815,69.81329,-0.02289,-0.0003815,68.06616,0,0,64.20569,-0.03052,-0.000508667,71.22473,-0.09918,-0.001653
43,62,1.4,0,0,71.15607,-0.03051,-0.000492097,,,70.35498,-0.03052,-0.000492258,68.10431,0,0,69.30975,-0.02289,-0.000369194,72.22418,0,0,69.81329,0,0,68.06616,0,0,64.17517,-0.03052,-0.000492258,71.20947,-0.01526,-0.000246129
44,58,1.4,0,0,71.12555,-0.03052,-0.000526207,,,70.30157,-0.05341,-0.000920862,68.10431,0,0,69.27924,-0.03051,-0.000526034,72.19366,-0.03052,-0.000526207,69.78278,-0.03051,-0.000526034,68.04327,-0.02289,-0.000394655,64.14465,-0.03052,-0.000526207,71.20947,0,0
45,61,1.4,0,0,71.10266,-0.02289,-0.000375246,,,70.27106,-0.03051,-0.000500164,68.10431,0,0,69.27924,0,0,72.17078,-0.02288,-0.000375082,69.75226,-0.03052,-0.000500328,68.06616,0.02289,0.000375246,64.11414,-0.03051,-0.000500164,71.20947,0,0
46,59,1.4,0,0,71.07214,-0.03052,-0.000517288,,,70.24054,-0.03052,-0.000517288,68.10431,0,0,69.27924,0,0,72.14026,-0.03052,-0.000517288,69.75226,0,0,68.06616,0,0,64.06073,-0.05341,-0.000905254,71.18658,-0.02289,-0.000387966
47,60,1.4,0,0,71.12555,0.05341,0.000890167,,,70.24054,0,0,68.15771,0.0534,0.00089,69.33264,0.0534,0.00089,72.19366,0.0534,0.00089,69.78278,0.03052,0.000508667,68.11957,0.05341,0.000890167,64.09125,0.03052,0.000508667,71.20947,0.02289,0.0003815
48,61,1.4,0,0,71.15607,0.03052,0.000500328,,,70.27106,0.03052,0.000500328,68.24164,0.08393,0.001375902,69.36316,0.03052,0.000500328,72.22418,0.03052,0.000500328,69.83618,0.0534,0.00087541,68.20349,0.08392,0.001375738,64.11414,0.02289,0.000375246,71.2934,0.08393,0.001375902
49,60,1.4,0,0,71.20947,0.0534,0.00089,,,70.32446,0.0534,0.00089,68.29504,0.0534,0.00089,69.44708,0.08392,0.001398667,72.24707,0.02289,0.0003815,69.89722,0.06104,0.001017333,68.26453,0.06104,0.001017333,64.17517,0.06103,0.001017167,71.3468,0.0534,0.00089
50,59,1.4,0,0,71.23999,0.03052,0.000517288,,,70.3855,0.06104,0.001034576,68.34845,0.05341,0.000905254,69.53101,0.08393,0.001422542,72.33099,0.08392,0.001422373,69.95062,0.0534,0.000905085,68.34082,0.07629,0.001293051,64.23621,0.06104,0.001034576,71.43073,0.08393,0.001422542
51,60,1.4,0,0,71.2934,0.05341,0.000890167,,,70.4389,0.0534,0.00089,68.40186,0.05341,0.000890167,69.58441,0.0534,0.00089,72.36151,0.03052,0.000508667,70.00403,0.05341,0.000890167,68.40186,0.06104,0.001017333,64.28961,0.0534,0.00089,71.51465,0.08392,0.001398667
52,60,1.4,0,0,71.37732,0.08392,0.001398667,,,70.49231,0.05341,0.000890167,68.48578,0.08392,0.001398667,69.63782,0.05341,0.000890167,72.44543,0.08392,0.001398667,70.05743,0.0534,0.00089,68.45526,0.0534,0.00089,64.38116,0.09155,0.001525833,71.59857,0.08392,0.001398667
53,60,1.4,0,0,71.43073,0.05341,0.000890167,,,70.54572,0.05341,0.000890167,68.54681,0.06103,0.001017167,69.69122,0.0534,0.00089,72.49884,0.05341,0.000890167,70.14136,0.08393,0.001398833,68.53918,0.08392,0.001398667,64.38116,0,0,71.65198,0.05341,0.000890167
54,61,1.4,0,0,71.51465,0.08392,0.001375738,,,70.60675,0.06103,0.001000492,68.60022,0.05341,0.000875574,69.77515,0.08393,0.001375902,72.58276,0.08392,0.001375738,70.19476,0.0534,0.00087541,68.59259,0.05341,0.000875574,64.4422,0.06104,0.001000656,71.70538,0.0534,0.00087541
55,60,1.4,0,0,71.56805,0.0534,0.00089,,,70.66016,0.05341,0.000890167,68.65363,0.05341,0.000890167,69.82855,0.0534,0.00089,72.63617,0.05341,0.000890167,70.2558,0.06104,0.001017333,68.70703,0.11444,0.001907333,64.52612,0.08392,0.001398667,71.7359,0.03052,0.000508667
56,59,1.4,0,0,71.62909,0.06104,0.001034576,,,70.68304,0.02288,0.000387797,68.70703,0.0534,0.000905085,69.88959,0.06104,0.001034576,72.72009,0.08392,0.001422373,70.33972,0.08392,0.001422373,68.76044,0.05341,0.000905254,64.61768,0.09156,0.001551864,71.81982,0.08392,0.001422373
57,61,1.4,0,0,71.6825,0.05341,0.000875574,,,70.76697,0.08393,0.001375902,68.7757,0.06867,0.001125738,69.97351,0.08392,0.001375738,72.7735,0.05341,0.000875574,70.36261,0.02289,0.000375246,68.78333,0.02289,0.000375246,64.7016,0.08392,0.001375738,71.87323,0.05341,0.000875574
58,60,1.4,0,0,71.76642,0.08392,0.001398667,,,70.79749,0.03052,0.000508667,68.8291,0.0534,0.00089,69.9964,0.02289,0.0003815,72.80402,0.03052,0.000508667,70.41602,0.05341,0.000890167,68.84436,0.06103,0.001017167,64.76263,0.06103,0.001017167,71.92664,0.05341,0.000890167
59,59,1.4,0,0,71.81982,0.0534,0.000905085,,,70.85089,0.0534,0.000905085,68.85962,0.03052,0.000517288,70.02692,0.03052,0.000517288,72.85742,0.0534,0.000905085,70.47705,0.06103,0.001034407,68.93591,0.09155,0.001551695,64.79315,0.03052,0.000517288,71.95715,0.03051,0.000517119
60,60,1.4,0,0,71.87323,0.05341,0.000890167,,,70.85089,0,0,68.91302,0.0534,0.00089,69.97351,-0.05341,-0.000890167,72.91083,0.05341,0.000890167,70.49994,0.02289,0.0003815,68.9588,0.02289,0.0003815,64.76263,-0.03052,-0.000508667,71.87323,-0.08392,-0.001398667
61,61,1.4,0,0,71.90375,0.03052,0.000500328,,,70.828,-0.02289,-0.000375246,68.91302,0,0,69.91248,-0.06103,-0.001000492,72.88794,-0.02289,-0.000375246,70.53046,0.03052,0.000500328,68.98932,0.03052,0.000500328,64.7016,-0.06103,-0.001000492,71.6825,-0.19073,-0.003126721
62,59,1.4,0,0,71.87323,-0.03052,-0.000517288,,,70.74408,-0.08392,-0.001422373,68.91302,0,0,69.77515,-0.13733,-0.002327627,72.85742,-0.03052,-0.000517288,70.49994,-0.03052,-0.000517288,68.98932,0,0,64.61768,-0.08392,-0.001422373,71.3468,-0.3357,-0.005689831
63,66,1.4,0,0,71.7359,-0.13733,-0.002080758,,,70.57623,-0.16785,-0.002543182,68.89014,-0.02288,-0.000346667,69.46997,-0.30518,-0.004623939,72.72009,-0.13733,-0.002080758,70.47705,-0.02289,-0.000346818,68.93591,-0.05341,-0.000809242,64.4422,-0.17548,-0.002658788,70.71356,-0.63324,-0.009594545
64,55,1.4,0,0,71.46124,-0.27466,-0.004993818,,,70.32446,-0.25177,-0.004577636,68.8291,-0.06104,-0.001109818,69.02747,-0.4425,-0.008045455,72.41492,-0.30517,-0.005548545,70.36261,-0.11444,-0.002080727,68.85199,-0.08392,-0.001525818,64.14465,-0.29755,-0.00541,70.08032,-0.63324,-0.011513455
65,59,1.4,0,0,71.04926,-0.41198,-0.006982712,,,69.96588,-0.35858,-0.006077627,68.66888,-0.16022,-0.002715593,68.66888,-0.35859,-0.006077797,72.00293,-0.41199,-0.006982881,70.17187,-0.19074,-0.003232881,68.59259,-0.2594,-0.00439661,63.82422,-0.32043,-0.005431017,69.69122,-0.3891,-0.006594915
66,61,1.4,0,0,70.46179,-0.58747,-0.009630656,,,69.50049,-0.46539,-0.007629344,68.47052,-0.19836,-0.003251803,68.08905,-0.57983,-0.00950541,71.4231,-0.57983,-0.00950541,69.9201,-0.25177,-0.004127377,68.31793,-0.27466,-0.004502623,63.38171,-0.44251,-0.007254262,68.8291,-0.86212,-0.014133115
67,62,1.4,0,0,69.85907,-0.60272,-0.00972129,,,68.97406,-0.52643,-0.008490806,68.16534,-0.30518,-0.004922258,67.56262,-0.52643,-0.008490806,70.81274,-0.61036,-0.009844516,69.59204,-0.32806,-0.00529129,67.95935,-0.35858,-0.005783548,62.8858,-0.49591,-0.007998548,68.11194,-0.71716,-0.011567097
68,58,1.4,0,0,69.11139,-0.74768,-0.012891034,,,68.3103,-0.66376,-0.011444138,67.7381,-0.42724,-0.007366207,66.84546,-0.71716,-0.012364828,69.97351,-0.83923,-0.014469483,69.14954,-0.4425,-0.00762931,67.45581,-0.50354,-0.008681724,62.26782,-0.61798,-0.010654828,67.22693,-0.88501,-0.015258793
69,60,1.4,0,0,68.27216,-0.83923,-0.013987167,,,67.63892,-0.67138,-0.011189667,67.2193,-0.5188,-0.008646667,66.15118,-0.69428,-0.011571333,69.22583,-0.74768,-0.012461333,68.62311,-0.52643,-0.008773833,66.82257,-0.63324,-0.010554,61.56592,-0.7019,-0.011698333,66.47162,-0.75531,-0.0125885
70,60,1.4,0,0,67.76862,-0.50354,-0.008392333,,,67.19641,-0.44251,-0.007375167,66.63184,-0.58746,-0.009791,65.81549,-0.33569,-0.005594833,68.81384,-0.41199,-0.0068665,68.06616,-0.55695,-0.0092825,66.29614,-0.52643,-0.008773833,61.03949,-0.52643,-0.008773833,66.44873,-0.02289,-0.0003815
71,62,1.4,0,0,67.44055,-0.32807,-0.005291452,,,66.94464,-0.25177,-0.004060806,66.11304,-0.5188,-0.008367742,65.6095,-0.20599,-0.003322419,68.56207,-0.25177,-0.004060806,67.65417,-0.41199,-0.006645,65.88416,-0.41198,-0.006644839,60.71906,-0.32043,-0.005168226,66.52502,0.07629,0.001230484
72,57,1.4,0,0,67.35663,-0.08392,-0.001472281,,,66.86072,-0.08392,-0.001472281,65.74683,-0.36621,-0.006424737,65.6095,0,0,68.47815,-0.08392,-0.001472281,67.29559,-0.35858,-0.006290877,65.56372,-0.32044,-0.005621754,60.59698,-0.12208,-0.002141754,66.63947,0.11445,0.002007895
73,62,1.4,0,0,67.27271,-0.08392,-0.001353548,,,66.80731,-0.05341,-0.000861452,65.51031,-0.23652,-0.003814839,65.57898,-0.03052,-0.000492258,68.42474,-0.05341,-0.000861452,67.09723,-0.19836,-0.003199355,65.32721,-0.23651,-0.003814677,60.51306,-0.08392,-0.001353548,66.63947,0,0
74,59,1.4,0,0,67.2193,-0.05341,-0.000905254,,,66.77679,-0.03052,-0.000517288,65.30432,-0.20599,-0.003491356,65.6095,0.03052,0.000517288,68.37134,-0.0534,-0.000905085,66.93701,-0.16022,-0.002715593,65.18225,-0.14496,-0.002456949,60.45203,-0.06103,-0.001034407,66.86072,0.22125,0.00375
75,59,1.4,0,0,67.2193,0,0,,,66.80731,0.03052,0.000517288,65.2204,-0.08392,-0.001422373,65.6629,0.0534,0.000905085,68.37134,0,0,66.87598,-0.06103,-0.001034407,65.09833,-0.08392,-0.001422373,60.48254,0.03051,0.000517119,66.88361,0.02289,0.000387966
76,61,1.4,0,0,67.27271,0.05341,0.000875574,,,66.8302,0.02289,0.000375246,65.15936,-0.06104,-0.001000656,65.81549,0.15259,0.002501475,68.44763,0.07629,0.001250656,66.79968,-0.0763,-0.00125082,65.03729,-0.06104,-0.001000656,60.47491,-0.00763,-0.000125082,67.10486,0.22125,0.003627049
77,60,1.4,0,0,67.35663,0.08392,0.001398667,,,66.88361,0.05341,0.000890167,65.12885,-0.03051,-0.0005085,65.9223,0.10681,0.001780167,68.53156,0.08393,0.001398833,66.73102,-0.06866,-0.001144333,65.00677,-0.03052,-0.000508667,60.56647,0.09156,0.001526,67.24219,0.13733,0.002288833
78,59,1.4,0,0,67.41003,0.0534,0.000905085,,,66.96753,0.08392,0.001422373,65.12885,0,0,66.03674,0.11444,0.001939661,68.59259,0.06103,0.001034407,66.79205,0.06103,0.001034407,64.99915,-0.00762,-0.000129153,60.6275,0.06103,0.001034407,67.43292,0.19073,0.003232712
79,62,1.4,0,0,67.49396,0.08393,0.00135371,,,67.07434,0.10681,0.001722742,65.15173,0.02288,0.000369032,66.14355,0.10681,0.001722742,68.6994,0.10681,0.001722742,66.81494,0.02289,0.000369194,65.02966,0.03051,0.000492097,60.77246,0.14496,0.002338065,67.60077,0.16785,0.002707258
80,58,1.4,0,0,67.63129,0.13733,0.002367759,,,67.18878,0.11444,0.001973103,65.21277,0.06104,0.001052414,66.3114,0.16785,0.002893966,68.81384,0.11444,0.001973103,66.84546,0.03052,0.000526207,65.12122,0.09156,0.001578621,60.8869,0.11444,0.001973103,67.7915,0.19073,0.003288448
81,63,1.4,0,0,67.76862,0.13733,0.002179841,,,67.29559,0.10681,0.001695397,65.2738,0.06103,0.00096873,66.4411,0.1297,0.00205873,68.95117,0.13733,0.002179841,66.92938,0.08392,0.001332063,65.17462,0.0534,0.000847619,61.00897,0.12207,0.001937619,67.98224,0.19074,0.003027619
82,58,1.4,0,0,67.85254,0.08392,0.001446897,,,67.41003,0.11444,0.001973103,65.38824,0.11444,0.001973103,66.55554,0.11444,0.001973103,69.05798,0.10681,0.001841552,67.01331,0.08393,0.001447069,65.29669,0.12207,0.002104655,61.12341,0.11444,0.001973103,68.1272,0.14496,0.00249931
83,60,1.4,0,0,67.98987,0.13733,0.002288833,,,67.54736,0.13733,0.002288833,65.51031,0.12207,0.0020345,66.74628,0.19074,0.003179,69.19531,0.13733,0.002288833,67.12012,0.10681,0.001780167,65.41113,0.11444,0.001907333,61.26837,0.14496,0.002416,68.40186,0.27466,0.004577667
84,59,1.4,0,0,68.15771,0.16784,0.002844746,,,67.65417,0.10681,0.001810339,65.59424,0.08393,0.001422542,66.88361,0.13733,0.002327627,69.33264,0.13733,0.002327627,67.20404,0.08392,0.001422373,65.5332,0.12207,0.002068983,61.41333,0.14496,0.002456949,68.50867,0.10681,0.001810339
